id,name,series,year,platform,format,client,player_local,player_online,completion,subscription,online support
589,Who Killed Sam Rupert? (Virtual Murder 1),Virtual Murder,1994,PC,physical,PC Disc,1,0,not started,no,no
590,Who Shot Johnny Rock?,n/a,1994,PC,physical,PC Disc,1,0,not started,no,no
591,Windbound,n/a,2020,PC,digital,Epic,1,0,not started,no,no
592,Wipeout Omega Collection,Wipeout,2017,PS4,digital,Console,0,2-8,not started,yes,yes
593,Wolfenstein: The New Order,Wolfenstein,2014,PC,digital,Multiple,1,0,not started,no,no
594,Wonder Boy: The Dragon's Trap,Wonder Boy,2017,PC,digital,Epic,1,0,not started,no,no
595,World of Warcraft,Warcraft,2004,PC,both,Battle.net,0,2-99+,unfinished,yes,yes
596,Worlds of Ultima: The Savage Empire,Ultima,1990,PC,digital,GOG,1,0,not started,no,no
597,Worms Battlegrounds,Worms,2014,PS4,digital,Console,0,2-4,not started,yes,yes
598,Worms Rumble,Worms,2020,PS4,digital,Console,0,2-32,not started,yes,yes
599,Written in the Sky,n/a,2015,PC,digital,Steam,1,0,perfect (100%),no,no
600,WWII Aces,Wings,2007,Nintendo Wii,physical,Console,1-2,0,not started,no,no
601,WWII Fighters,Jane's Combat Sims,1998,PC,physical,PC Disc,1,0,not started,no,no
602,X-Men Legends II: Rise of Apocalypse,X-Men Legends,2005,PSP,physical,Console,1,2-4,not started,no,terminated
603,X-Morph: Defense - Complete Edition,n/a,2017,PC,digital,GOG,1-2,0,not started,no,no
604,XCOM 2,XCOM,2016,PC,digital,Epic,1,2,not started,no,terminated
605,Yakuza: Like A Dragon,Yakuza,2020,PS4,digital,Console,1,0,not started,yes,no
606,Yoku's Island Express,n/a,2018,PC,digital,Epic,1,0,not started,no,no
607,Yooka-Laylee and the Impossible Lair,Yooka-Laylee,2019,PC,digital,Epic,1,0,not started,no,no
608,Zombi (ZombiU),n/a,2015,PS4,digital,Console,1,0,unfinished,yes,no
609,Zombie Army 4: Dead War,Sniper Elite,2019,PS4,digital,Console,0,2-4,not started,yes,yes
